Full Market Value,Land Assessed Value,MostRecentSalePrice,MostRecentSaleDate,PropertyType,BuildingStyle,YearBuilt,RoomCounts,nbhd,LotSize(acr)
"$208,000","$35,200",135000,9/29/2020,1 Family Res,Ranch,1970,3 / 2,Pot outskirts,1.2
"$119,000","$27,500",93000,9/29/2020,1 Family Res,Cottage,1940,3 / 2,Rural,0.82
"$100,000","$10,000",34000,9/29/2011,Det row bldg,Commercial,1890,,Commercial,0.06
"$285,000","$52,500",210000,9/29/2008,1 Family Res,Colonial,2006,3 / 2.1,Rural New,3.5
"$175,000","$33,900",175000,9/28/2023,Converted Res,Commercial,1900,,Comm Old,0.22
"$182,000","$33,000",173000,9/28/2022,2 Family Res,Duplex,2001,4 / 2,Res Old #1,0.4
"$92,000","$16,400",50000,9/28/2021,1 Family Res,Bungalow,1920,2 / 1,Res Old #2,0.16
"$110,000","$18,800",71000,9/28/2017,1 Family Res,Old style,1910,2 / 2,Res Old #1,0.27
"$30,000","$20,200",10000,9/28/2013,Other Storage,Commercial,2008,,Commercial,0.71
"$69,000","$9,900",50000,9/28/2012,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.21
"$322,000","$50,800",179500,9/28/2010,1 Family Res,Ranch,1983,3 / 2,Rural New,1.8
"$449,000","$98,500",164500,9/28/2007,1 Family Res,Ranch,2016,2 / 2,Water/Nor Lake,0.73
"$101,000","$15,300",18000,9/28/1998,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.36
"$57,900","$57,900",64800,9/27/2024,Rural vac>10,,,,Vill/Norwood,25.7
"$40,500","$40,500",45000,9/27/2024,Vacant rural,,,,Rural New,22
"$246,000","$25,900",234000,9/27/2023,1 Family Res,Split level,1960,3 / 1.1,Res Old #2,0.27
"$149,000","$16,400",130000,9/27/2023,1 Family Res,Ranch,1920,3 / 1,Res Old #2,0.16
"$310,000","$7,600",275000,9/27/2022,1 Family Res,Colonial,1900,5 / 3,Union Hew Siss,0.69
"$16,800","$16,800",10000,9/27/2010,Rural vac<10,,,,Rural,2.8
"$90,700","$90,700",17000,9/27/2001,Vacant rural,,,,Rural New,49.1
"$204,000","$55,500",98000,9/27/2001,1 Family Res,Old style,1860,3 / 2,Rural New,4.8
"$1,150,000","$228,000",17962,9/27/1999,Elec-Gas Facil,Commercial,1999,,Comm New,2.4
"$175,000","$113,000",46000,9/26/2014,1 use sm bld,Commercial,1985,,Commercial,3
"$159,000","$35,100",45000,9/26/2007,2 Family Res,Old style,1900,4 / 2,Res Old #2,0.47
"$42,000","$31,200",5000,9/26/2003,Mfg housings,,,,Rural,2.2
"$166,000","$21,300",67000,9/26/2000,1 Family Res,Old style,1900,4 / 1.1,Vill/Norwood,0.57
"$133,000","$12,800",44000,9/26/2000,1 Family Res,Old style,1932,4 / 2,Res Old #2,0.12
"$94,000","$15,500",37000,9/26/2000,1 Family Res,Cottage,1953,2 / 1,Res Old #2,0.15
"$190,000","$42,700",75000,9/25/2020,Social org.,Commercial,1950,,Comm Old,0.28
"$155,000","$31,000",145000,9/25/2018,1 Family Res,Ranch,1987,3 / 1,Rural,2
"$154,000","$24,500",77000,9/25/2009,1 Family Res,Old style,1910,3 / 1.1,Res Old #2,0.25
"$175,000","$34,300",59000,9/25/2004,1 Family Res,Old style,1830,3 / 2,Water/Nor Lake,0.77
"$112,000","$111,800",66000,9/25/2000,Com vac w/imp,,,,Commercial,2.59
"$81,800","$31,000",80000,9/24/2024,Mfg housing,,,,Rural,2
"$380,000","$30,700",45000,9/24/2020,1 Family Res,Colonial,1975,4 / 3.2,Rural,1.7
"$202,000","$24,500",162500,9/24/2019,1 Family Res,Ranch,1952,4 / 2,Rural,0.65
"$231,000","$30,100",189000,9/24/2013,1 Family Res,Ranch,1956,3 / 2,Rural,1.1
"$130,000","$23,600",26000,9/24/2004,1 Family Res,Ranch,1957,2 / 1,Res Old #2,0.24
"$187,000","$25,900",26000,9/24/2001,1 Family Res,Old style,1840,3 / 1,Res Old #1,0.66
"$84,000","$19,200",68000,9/23/2022,1 Family Res,Ranch,1940,1 / 1,Res Old #1,0.28
"$103,000","$18,300",30000,9/23/2020,1 Family Res,Old style,1900,4 / 2,Vill/Norwood,0.46
"$190,000","$36,800",200000,9/23/2020,1 Family Res,Colonial,2003,3 / 2,Rural,7.8
"$136,000","$53,000",75000,9/23/2020,1 Family Res,Old style,1880,3 / 1,Rural New,4
"$210,000","$24,500",84000,9/23/2014,2 Family Res,Old style,1910,6 / 2,Res Old #2,0.25
"$348,000","$59,300",145000,9/23/2004,Rural res,Old style,1920,4 / 3,Pot outskirts,38.1
"$95,000","$18,000",70000,9/22/2022,1 Family Res,Old style,1870,2 / 2,Res Old #1,0.25
"$451,000","$32,400",265000,9/22/2021,1 Family Res,Contemporary,1993,4 / 3,Rural,3.4
"$196,000","$17,300",99500,9/22/2017,1 Family Res,Old style,1890,4 / 2,Res Old #2,0.17
"$190,000","$30,100",123000,9/22/2014,1 Family Res,Ranch,1970,3 / 1.1,Rural,1.1
"$16,200","$16,200",9000,9/22/2011,Rural vac<10,,,,Rural,2.2
"$356,000","$39,600",12000,9/22/2000,Rural res,Cape cod,2004,4 / 2,Rural,10.6
"$286,000","$81,400",12000,9/22/1998,Rural res,Colonial,2000,3 / 1.1,Rural New,53.7
"$242,000","$25,900",230000,9/21/2023,1 Family Res,Old style,1943,4 / 1.1,Res Old #2,0.27
"$104,000","$45,800",55000,9/21/2022,1 Family Res,Cottage,1900,2 / 1,Res Old #1,1.5
"$170,000","$24,500",140000,9/21/2022,1 Family Res,Old style,1900,4 / 1.1,Res Old #2,0.25
"$120,000","$10,000",89500,9/21/2021,3 Family Res,Old style,1880,3 / 3,Res Old #2,0.09
"$170,000","$75,900",114500,9/21/2020,Converted Res,Commercial,1950,,Comm Old,0.51
"$15,900","$15,900",10000,9/21/2017,Res vac land,,,,Rural,1.9
"$247,000","$32,500",184000,9/21/2017,1 Family Res,Old style,1920,3 / 1.2,Rural,3.5
"$85,000","$14,100",46000,9/21/2016,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.32
"$110,000","$10,000",49300,9/21/2015,1 use sm bld,Commercial,1984,,Commercial,0.06
"$100,000","$8,700",71550,9/21/2009,1 Family Res,Old style,1908,3 / 1,Vill/Norwood,0.18
"$155,000","$20,300",77700,9/21/2005,1 Family Res,Ranch,1951,4 / 1.1,Vill/Norwood,0.53
"$245,000","$57,700",4000,9/21/2001,1 Family Res,Raised ranch,2001,3 / 1,Rural New,8.7
"$153,000","$36,900",61500,9/21/1998,2 Family Res,Old style,1945,5 / 2,Pot outskirts,2.9
"$221,000","$30,300",210000,9/20/2023,1 Family Res,Ranch,1966,3 / 1.1,Res New,0.34
"$183,000","$29,400",155000,9/20/2023,1 Family Res,Ranch,1959,5 / 2,Res New,0.32
"$294,000","$31,100",270000,9/20/2023,1 Family Res,Cape cod,1995,2 / 2,Rural,2.1
"$122,000","$24,300",113000,9/20/2021,1 Family Res,Ranch,1957,2 / 1,Vill/Norwood,0.69
"$191,000","$52,800",156000,9/20/2019,1 Family Res,Ranch,1980,2 / 1,Rural New,3.8
"$77,400","$19,100",46000,9/20/2019,Mfg housing,,,,Rural,0.42
"$151,000","$30,000",86000,9/20/2017,1 Family Res,Ranch,1951,2 / 1,Res Old #2,0.4
"$379,000","$122,200",43400,9/20/2016,1 Family Res,Cape cod,2019,2 / 2,Water/Nor Lake,5.2
"$124,000","$17,300",40000,9/20/2007,1 Family Res,Old style,1880,3 / 1,Res Old #2,0.17
"$87,900","$87,900",120000,9/2/2022,Rural vac>10,,,,Rural,131.8
"$321,000","$29,200",306000,9/2/2022,1 Family Res,Ranch,1973,3 / 2,Rural,0.94
"$68,600","$66,600",75000,9/2/2022,Vac w/imprv,,,,Water/Nor Lake,0.71
"$334,000","$20,900",10000,9/2/2021,1 Family Res,Ranch,2023,3 / 2.1,Res Old #2,0.21
"$195,000","$31,100",179000,9/2/2020,1 Family Res,Colonial,2009,3 / 2,Rural,2.1
"$240,000","$14,800",220000,9/2/2016,Att row bldg,Commercial,1890,,Comm Old,0.09
"$265,000","$41,500",28000,9/2/2014,1 Family Res,Old style,1890,5 / 2.1,Vill/Norwood,2
"$265,000","$42,500",160000,9/2/2014,1 Family Res,Contemporary,1973,3 / 2.2,Res New,0.7
"$50,000","$12,300",27900,9/2/2009,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.27
"$103,000","$19,200",15000,9/2/2005,1 Family Res,Old style,1900,3 / 1,Pot outskirts,0.39
"$150,000","$31,700",150000,9/19/2024,1 Family Res,Cape cod,1958,5 / 1,Res New,90
"$270,000","$30,400",270000,9/19/2024,1 Family Res,Old style,1880,5 / 2.1,Rural,1.4
"$114,000","$5,500",50000,9/19/2017,1 Family Res,Old style,1900,3 / 2,Vill/Norwood,0.1
"$220,000","$70,000",176500,9/19/2017,1 Family Res,Raised ranch,1979,3 / 1,Water/Nor Lake,0.61
"$257,000","$51,800",259000,9/19/2017,1 Family Res,Old style,1920,4 / 2.1,Rural New,2.8
"$89,000","$28,200",63000,9/19/2014,1 Family Res,Cottage,2002,2 / 1,Rural,0.87
"$2,100,000","$218,400",1863000,9/19/2011,Office bldg.,Commercial,2011,,Comm New,1.92
"$297,000","$41,000",18500,9/19/2007,Rural res,Cape cod,2008,3 / 2,Rural,12.4
"$16,900","$16,900",2000,9/19/2006,Rural vac<10,,,,Rural,2.9
"$104,000","$39,000",25000,9/19/2005,1 Family Res,Ranch,2009,1 / 1,Rural,10
"$258,000","$30,100",100000,9/19/2003,1 Family Res,Split level,1971,3 / 2,Rural,1.1
"$165,000","$30,000",57000,9/19/2002,1 Family Res,Ranch,1965,2 / 1,Rural,1
"$26,400","$22,800",28000,9/18/2024,Vac w/imprv,,,,Rural,8.8
"$21,400","$21,400",5200,9/18/2023,Rural vac<10,,,,Rural,7.4
"$135,000","$36,800",105000,9/18/2019,Converted Res,Commercial,1900,,Comm Old,0.24
"$280,800","$53,900",60000,9/18/2018,Vac w/imprv,,,,Water/Nor Lake,0.49
"$157,000","$72,700",90300,9/18/2006,1 Family Res,Ranch,2007,1 / 1,Water/Nor Lake,0.82
"$235,000","$91,200",54000,9/18/1999,Rural res&ag,Old style,1803,3 / 1,Rural New,68.3
"$341,000","$30,800",17000,9/17/2020,1 Family Res,Ranch,2021,2 / 2,Rural,1.83
"$252,000","$13,200",185000,9/17/2018,1 Family Res,Old style,1900,4 / 2,Union Hew Siss,0.66
"$206,000","$32,300",90000,9/17/2012,1 Family Res,Ranch,1973,3 / 1,Rural,3.3
"$283,000","$52,900",37000,9/17/2003,Rural res,Ranch,2007,2 / 1,Rural,36.7
"$312,000","$32,000",312200,9/16/2024,1 Family Res,Cape cod,1996,3 / 2.1,Rural,2
"$218,000","$29,600",175000,9/16/2021,1 Family Res,Old style,1900,4 / 1,Res Old #2,0.29
"$190,000","$31,800",229000,9/16/2021,1 Family Res,Ranch,2020,3 / 2,Rural,2.8
"$105,000","$22,400",72000,9/16/2019,1 Family Res,Ranch,1953,2 / 1,Res Old #1,0.42
"$3,100","$3,100",2000,9/16/2016,Rural vac<10,,,,Rural,3.1
"$115,000","$9,000",75500,9/16/2011,1 Family Res,Old style,1920,3 / 1,Res Old #2,0.08
"$110,000","$31,100",39000,9/16/2003,1 Family Res,Manuf'd Housing,1968,3 / 1,Rural,2.1
"$165,000","$30,500",77500,9/16/1998,1 Family Res,Old style,1930,3 / 2,Rural,1.5
"$210,000","$33,900",210000,9/15/2023,Converted Res,Commercial,1950,,Comm Old,0.22
"$186,000","$20,000",169500,9/15/2022,1 Family Res,Cape cod,1948,3 / 2,Res Old #2,0.2
"$335,000","$85,800",51000,9/15/2022,Rural res,Colonial,2023,3 / 2.1,Rural New,62.5
"$4,000,000","$647,200",3850000,9/15/2017,Apartment,Commercial,1960,,Comm New,16.2
"$15,600","$15,600",6000,9/15/2016,Rural vac<10,,,,Rural,1.6
"$155,000","$25,200",80000,9/15/2008,1 Family Res,Cape cod,1950,3 / 2,Res New,0.24
"$78,900","$78,900",55000,9/15/2008,Vac farmland,,,,Rural,41.6
"$220,000","$24,500",101500,9/15/2003,1 Family Res,Old style,1930,4 / 2,Vill/Norwood,0.7
"$171,000","$19,500",51000,9/15/1999,2 Family Res,Old style,1900,5 / 2.1,Vill/Norwood,0.5
"$160,000","$21,000",132000,9/14/2023,1 Family Res,Old style,1900,3 / 2,Res Old #1,0.35
"$263,000","$21,600",237000,9/14/2023,2 Family Res,Colonial,2004,7 / 2.1,Res Old #1,0.38
"$232,000","$23,600",210000,9/14/2022,1 Family Res,Old style,1885,4 / 2,Res Old #2,0.24
"$144,000","$23,600",111000,9/14/2022,1 Family Res,Ranch,1955,3 / 1,Res New,0.22
"$440,000","$182,600",440000,9/14/2022,Apartment,Commercial,1970,,Commercial,7.2
"$325,000","$124,500",262000,9/14/2017,Office bldg.,Commercial,1968,,Comm Old,1.45
"$276,000","$31,300",187000,9/14/2015,1 Family Res,Colonial,1988,3 / 2.1,Rural,2.3
"$220,000","$58,900",64000,9/14/2012,1 Family Res,Ranch,1978,3 / 1,Rural New,9.9
"$109,000","$25,000",41500,9/14/2004,1 Family Res,Old style,1900,4 / 1,Res Old #1,0.58
"$454,000","$38,600",160000,9/14/2004,1 Family Res,Raised ranch,1972,3 / 2.1,Rural,9.6
"$226,000","$21,700",70000,9/14/1998,1 Family Res,Ranch,1973,4 / 2,Rural,0.51
"$18,200","$18,200",24900,9/13/2024,Rural vac<10,,,,Rural,4.2
"$100,000","$52,500",90000,9/13/2023,Auto body,Commercial,1994,,Commercial,1.49
"$250,000","$34,600",205000,9/13/2021,1 Family Res,Old style,1925,3 / 2,Res Old #2,0.72
"$322,000","$38,000",184000,9/13/2011,1 Family Res,Ranch,2005,3 / 2,Rural,9
"$34,000","$34,000",6000,9/13/2010,Rural vac>10,,,,Rural New,10
"$121,000","$19,100",69500,9/13/2007,2 Family Res,Old style,1878,7 / 2,Res Old #2,0.19
"$145,000","$29,200",60000,9/13/2005,1 Family Res,Old style,1900,3 / 2,Res Old #2,0.36
"$175,000","$47,600",15000,9/13/2005,Rural res,Manuf'd Housing,2006,2 / 2,Rural,16.6
"$21,800","$21,800",8500,9/13/2005,Rural vac<10,,,,Pot outskirts,2.8
"$123,000","$47,900",46000,9/13/2004,Rural res,Manuf'd Housing,1988,2 / 2,Rural,26.7
"$124,000","$24,000",32500,9/13/2001,1 Family Res,Cape cod,1951,3 / 2,Res Old #1,0.5
"$170,000","$23,400",56000,9/13/1999,3 Family Res,Old style,1900,4 / 3,Res Old #1,0.47
"$251,000","$58,700",235000,9/12/2022,1 Family Res,Ranch,1987,3 / 2,Rural New,9.7
"$97,000","$9,000",57500,9/12/2019,1 Family Res,Old style,1900,2 / 1,Res Old #2,0.08
"$35,800","$35,800",30000,9/12/2019,Rural vac>10,,,,Rural New,12.5
"$14,800","$14,800",105000,9/12/2008,Res vac land,,,,Res Old #2,0.25
"$336,000","$53,900",337500,9/11/2024,1 Family Res,Cape cod,1960,3 / 2.1,Rural New,4.9
"$205,000","$32,500",84800,9/11/2013,1 Family Res,Ranch,1951,3 / 2,Rural New,0.4
"$202,000","$29,200",94600,9/11/1998,1 Family Res,Old style,1900,3 / 2,Res Old #2,0.36
"$85,000","$15,300",85000,9/10/2024,1 Family Res,Ranch,1965,3 / 1,Vill/Norwood,100
"$204,000","$20,900",99500,9/10/2019,3 Family Res,Old style,1900,6 / 5,Res Old #2,0.21
"$61,700","$61,700",60000,9/10/2019,Field crops,,,,Rural,38.5
"$172,000","$30,000",17000,9/10/2014,1 Family Res,Manuf'd Housing,2014,3 / 2,Rural,1
"$18,400","$12,400",8500,9/10/2013,Vac w/imprv,,,,Rural,0.74
"$108,000","$20,300",66500,9/10/2008,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.53
"$179,000","$30,400",120000,9/10/1998,1 Family Res,Colonial,1994,3 / 2.1,Rural,1.4
"$164,000","$23,700",87000,9/1/2021,1 Family Res,Ranch,1951,4 / 1.1,Pot outskirts,0.54
"$198,000","$16,200",80000,9/1/2017,1 Family Res,Raised ranch,1985,3 / 1.1,Res Old #1,0.22
"$115,000","$32,200",23000,9/1/2013,1 Family Res,Ranch,2013,2 / 1,Vill/Norwood,1.1
"$146,000","$20,800",65000,9/1/2009,1 Family Res,Ranch,1951,3 / 2,Res Old #1,0.34
"$2,100,000","$359,600",344000,9/1/2008,Lite Ind Manftr,Commercial,1950,,Commercial,27.29
"$150,000","$28,000",112000,9/1/2006,2 Family Res,Old style,1900,7 / 2.2,Res Old #2,0.3
"$220,000","$35,100",220000,8/9/2024,1 Family Res,Ranch,2002,3 / 2,Rural,6.1
"$190,000","$11,600",50000,8/9/2022,Converted Res,Commercial,1960,,Commercial,33
"$240,000","$56,300",165000,8/9/2021,1 Family Res,Cape cod,1951,3 / 2,Rural New,7.3
"$39,400","$39,400",32000,8/9/2021,Rural vac>10,,,,Rural,39.8
"$253,000","$15,500",249000,8/9/2019,1 Family Res,Contemporary,2019,3 / 2.1,Res Old #2,0.15
"$68,000","$19,500",13500,8/9/2018,1 Family Res,Old style,1860,2 / 2,Vill/Norwood,0.5
"$60,000","$22,900",22000,8/9/2018,1 Family Res,Old style,1890,2 / 1,Rural,0.57
"$253,000","$28,800",120000,8/9/2017,1 Family Res,Old style,1900,4 / 2,Res Old #2,0.34
"$293,000","$38,500",121000,8/9/2011,1 Family Res,Old style,1840,4 / 2.1,Res New,0.54
"$196,000","$50,900",126000,8/9/2011,1 Family Res,Ranch,1951,2 / 1.1,Res New,1.6
"$34,300","$34,300",162500,8/8/2019,Rural vac>10,,,,Rural,29.6
"$125,000","$30,400",66000,8/8/2017,1 Family Res,Ranch,1951,2 / 1,Pot outskirts,0.77
"$400,000","$98,400",250000,8/8/2015,Converted Res,Commercial,1870,,Comm Old,0.76
"$250,000","$63,700",175000,8/8/2011,1 Family Res,Cape cod,1988,3 / 2,Water/Nor Lake,0.5
"$225,000","$10,000",32000,8/8/2009,Det row bldg,Commercial,1950,,Commercial,0.06
"$39,400","$39,400",117000,8/8/2007,Vacant rural,,,,Rural New,19.3
"$281,000","$54,000",180000,8/8/2003,1 Family Res,Old style,1860,3 / 2,Rural New,5
"$251,000","$25,600",251000,8/7/2024,1 Family Res,Old style,1920,1 / 1,Res Old #2,77
"$260,000","$42,500",219600,8/7/2020,1 Family Res,Split level,1958,4 / 2,Res New,0.7
"$260,000","$119,100",1070000,8/7/2020,Converted Res,Commercial,1836,,Comm Old,0.99
"$17,500","$17,500",197000,8/7/2020,Res vac land,,,,Res Old #2,0.44
"$231,000","$31,100",100000,8/7/2020,1 Family Res,Other style,1980,3 / 1,Rural,2.1
"$127,000","$19,200",109700,8/7/2019,1 Family Res,Old style,1890,2 / 2,Vill/Norwood,0.49
"$239,000","$34,800",184000,8/7/2019,1 Family Res,Ranch,1960,3 / 2,Res New,0.44
"$80,000","$13,500",30000,8/7/2015,1 Family Res,Old style,1850,3 / 1,Vill/Norwood,0.3
"$170,000","$124,400",68000,8/7/2015,Rural res&ag,Old style,1900,3 / 0,Rural,124.4
"$152,000","$28,200",91000,8/7/2007,1 Family Res,Ranch,1956,2 / 1,Res Old #2,0.31
"$215,000","$31,800",146000,8/7/2006,1 Family Res,Old style,1928,4 / 1.1,Res Old #2,0.49
"$228,000","$109,700",140000,8/7/2006,1 Family Res,Old style,1900,3 / 1,Water/Nor Lake,5.4
"$7,400","$7,400",82000,8/7/2001,Vacant rural,,,,Rural New,9.7
"$29,100","$28,100",25000,8/6/2024,Vac w/imprv,,,,Rural New,4.1
"$284,000","$50,800",275000,8/6/2021,1 Family Res,Colonial,1976,3 / 2.1,Rural New,1.8
"$600,000","$109,600",408000,8/6/2019,1 use sm bld,Commercial,2005,,Commercial,1.16
"$17,100","$17,100",4000,8/6/2015,Rural vac<10,,,,Rural,3.1
"$161,000","$35,500",93000,8/6/2003,1 Fam Res w/Apt,Manuf'd Housing,1985,3 / 2,Rural,6.5
"$186,000","$66,300",11500,8/6/2002,Rural res,Manuf'd Housing,2006,3 / 2,Rural,63.5
"$700,000","$342,400",12740,8/6/1998,Truck termnl,Commercial,1998,,Comm New,6.56
"$160,000","$19,800",160000,8/5/2024,1 Family Res,Old style,1850,3 / 2,Vill/Norwood,77
"$770,000","$223,300",770000,8/5/2024,MiniWhseSelfSto,Commercial,2001,,Commercial,18.4
"$275,000","$30,900",200000,8/5/2021,Benevolent,Commercial,1950,,Comm Old,0.2
"$123,300","$123,300",30000,8/5/2021,Field crops,,,,Pot outskirts,77.1
"$295,000","$34,400",273000,8/5/2019,1 Family Res,Colonial,1979,3 / 1.1,Rural,5.4
"$272,000","$32,600",160000,8/5/2014,1 Family Res,Split level,2003,4 / 2.1,Rural,3.6
"$15,400","$15,400",15000,8/5/2011,Vacant comm,,,,Comm Old,20.78
"$25,200","$25,200",185000,8/5/2011,Vacant comm,,,,Comm Old,8.61
"$278,000","$35,100",176000,8/5/2004,Rural res,Cape cod,2003,3 / 2.1,Rural,6.1
"$200,000","$22,800",80500,8/5/1998,1 Family Res,Old style,1927,4 / 2,Res New,0.21
"$250,000","$57,900",14000,8/5/1998,1 Family Res,Manuf'd Housing,1999,4 / 2.1,Rural New,8.9
"$72,000","$1,100",42000,8/4/2020,1 Family Res,Bungalow,1918,3 / 1,Union Hew Siss,0.1
"$252,000","$43,800",136000,8/4/2016,1 Family Res,Split level,1974,3 / 2,Res New,0.75
"$245,000","$33,000",145819,8/4/2015,1 Family Res,Old style,1900,4 / 2,Res Old #2,0.58
"$49,200","$25,800",27000,8/4/2015,Mfg housing,,,,Pot outskirts,0.61
"$231,600","$30,900",175500,8/4/2014,1 Family Res,Ranch,2004,3 / 2,Rural,1.9
"$15,900","$15,700",5000,8/4/2011,Vac w/imprv,,,,Rural,1.7
"$135,000","$11,000",89900,8/4/2010,1 Family Res,Old style,1900,4 / 1.1,Res Old #2,0.1
"$279,000","$55,800",14000,8/4/2004,Rural res&ag,Colonial,2005,3 / 2.1,Rural,13.9
"$65,000","$13,800",17000,8/4/2003,1 Family Res,Old style,1905,3 / 1,Vill/Norwood,0.31
"$215,000","$25,100",200000,8/31/2023,3 Family Res,Old style,1900,5 / 3,Res Old #1,0.59
"$308,000","$38,900",293000,8/31/2023,3 Family Res,Old style,1846,7 / 4,Pot outskirts,4.9
"$41,100","$20,300",22000,8/31/2022,Mfg housing,,,,Rural,0.46
"$2,900,000","$222,400",4341458,8/31/2021,Medium Retail,Commercial,2006,,Comm New,2.01
"$208,000","$17,300",135000,8/31/2020,1 Family Res,Old style,1870,4 / 1.1,Res Old #2,0.17
"$284,000","$61,000",115500,8/31/2007,Rural res,Ranch,1988,3 / 2,Rural New,12
"$152,000","$32,900",58000,8/31/2006,1 Family Res,Old style,1900,3 / 1,Res Old #1,2.9
